"sp","migrant","area","HWI","family","hwi"
"Setophaga_ruticilla","Migrant",1584.05104467237,42.0621153671445,"Parulidae",28.85814899
"Setophaga_striata","Migrant",1942.50796450145,45.2301927312083,"Parulidae",32.08833034
"Setophaga_tigrina","Migrant",661.979084970274,44.0939128093053,"Parulidae",31.0649908
"Setophaga_townsendi","Migrant",580.504834529807,43.0977016637449,"Parulidae",30.04790718
"Setophaga_virens","Migrant",938.299042430998,43.1022406571736,"Parulidae",30.06593108
"Sicalis_citrina","Non-migrant",128.830652953902,33.0921855921856,"Thraupidae",19.78601954
"Sicalis_columbiana","Non-migrant",152.154295496972,31.6871076614236,"Thraupidae",18.59175235
"Sicalis_flaveola","Non-migrant",705.71221756772,31.0300346622667,"Thraupidae",17.92776179
"Sicalis_lutea","Non-migrant",28.581695390967,36.9984438219732,"Thraupidae",23.9912854
"Sicalis_luteocephala","Non-migrant",6.80432450102969,35.2024375920595,"Thraupidae",21.96406638
"Sicalis_luteola","Migrant",591.153182158814,43.0583073534235,"Thraupidae",30.0211699
"Spindalis_zena","Non-migrant",11.065570579801,34.1952126305067,"Spindalidae",21.09290807
"Spiza_americana","Migrant",598.945633491629,45.307605985002,"Cardinalidae",32.48491753
"Spizella_atrogularis","Migrant",130.021669277782,31.1962006437636,"Passerellidae",18.29012496
"Spizella_breweri","Migrant",555.519712782641,35.0345306758601,"Passerellidae",21.95874578
"Spizella_pallida","Migrant",822.380165070052,34.7597948506228,"Passerellidae",21.72909371
"Spizella_passerina","Migrant",1757.60266707837,42.4228561984179,"Passerellidae",29.3010305
"Spizella_pusilla","Migrant",488.78034375409,32.779379764241,"Passerellidae",19.51615003
"Sporophila_angolensis","Non-migrant",987.043849211862,33.320655353726,"Thraupidae",20.29544574
"Sporophila_caerulescens","Migrant",696.479439947989,34.7344254085978,"Thraupidae",21.85335807
"Sporophila_castaneiventris","Non-migrant",285.203592614366,39.1834950556302,"Thraupidae",26.12318562
"Sporophila_corvina","Non-migrant",20.3864874286266,34.7430552797525,"Thraupidae",21.76503678
"Sporophila_crassirostris","Non-migrant",206.51544263762,37.7631481999615,"Thraupidae",24.85262898
"Sporophila_funerea","Non-migrant",60.5560366127581,23.7732315631168,"Thraupidae",20.24349952
"Sporophila_hypochroma","Migrant",139.236610121441,36.4583116526006,"Thraupidae",23.59242761
"Sporophila_intermedia","Non-migrant",112.3272965199,31.7733053808525,"Thraupidae",19.11531671
"Sporophila_lineola","Migrant",1001.46235646894,35.731289583282,"Thraupidae",22.66880242
"Sporophila_luctuosa","Migrant",92.5909257071886,34.7740746851455,"Thraupidae",21.79871308
"Sporophila_maximiliani","Non-migrant",145.879116627897,40.4271408404388,"Thraupidae",27.30098487
"Sporophila_minuta","Non-migrant",183.628564185435,34.7468451148575,"Thraupidae",21.81842157
"Sporophila_nigricollis","Migrant",597.900001458308,33.77405002405,"Thraupidae",20.6002886
"Sporophila_plumbea","Non-migrant",399.414368096175,34.4128352490421,"Thraupidae",21.11631089
"Sporophila_schistacea","Non-migrant",128.177584017388,37.269993506112,"Thraupidae",24.15586361
"Sporophila_torqueola","Non-migrant",29.8834643186456,31.6253942136295,"Thraupidae",18.68959276
"Stephanophorus_diadematus","Non-migrant",100.694821719615,31.9467184813719,"Thraupidae",19.22671791
"Sturnella_magna","Migrant",680.6432504189,39.8470191102356,"Icteridae",27.19781675
"Sturnella_neglecta","Migrant",926.957611240006,37.71501618147,"Icteridae",24.85867558
"Tachyphonus_coronatus","Non-migrant",131.449298205213,29.3346577344627,"Thraupidae",16.35297119
"Tachyphonus_rufus","Non-migrant",496.592002848394,25.3089573755538,"Thraupidae",12.51212257
"Tangara_argyrofenges","Non-migrant",4.32982378326455,42.4673339006173,"Thraupidae",29.52752388
"Tangara_arthus","Non-migrant",3.2065659783802,36.4088084059915,"Thraupidae",23.18910127
"Tangara_cayana","Non-migrant",119.95920333254,37.8383186500277,"Thraupidae",24.59438202
"Tangara_chilensis","Non-migrant",376.466841788679,49.6935492271834,"Thraupidae",36.78738427
"Tangara_cyanocephala","Non-migrant",39.5233758517799,37.9822042123832,"Thraupidae",24.88085089
"Tangara_cyanoptera","Non-migrant",19.8377340013342,38.1572769953052,"Thraupidae",24.94759493
"Tangara_dowii","Non-migrant",0.994983090430927,34.4828014476908,"Thraupidae",21.31753195
"Tangara_florida","Non-migrant",3.03110441696044,39.2366116407037,"Thraupidae",26.25358444
"Tangara_gyrola","Non-migrant",342.555421264976,33.4245614035088,"Thraupidae",20.16140351
"Tangara_heinei","Non-migrant",10.9345801122041,38.1728036792293,"Thraupidae",24.90180857
"Tangara_icterocephala","Non-migrant",6.15073663521187,34.8463580097024,"Thraupidae",21.73604989
"Tangara_inornata","Non-migrant",14.7946287183232,38.6434610165953,"Thraupidae",25.46379988
"Tangara_johannae","Non-migrant",5.64021181680925,36.9208306294614,"Thraupidae",23.72275451
"Tangara_labradorides","Non-migrant",8.51508740140125,35.1734539969834,"Thraupidae",21.93054658
"Tangara_larvata","Non-migrant",39.896867206358,39.0419942376464,"Thraupidae",26.01447782
"Tangara_lavinia","Non-migrant",11.1559130421513,33.3974197099197,"Thraupidae",20.31854604
"Tangara_mexicana","Non-migrant",577.083864306812,39.5900493996747,"Thraupidae",26.3550335
"Tangara_nigroviridis","Non-migrant",28.7291553361684,37.4135485320715,"Thraupidae",24.3486333
"Tangara_rufigenis","Non-migrant",0.564393751856019,34.8771403517956,"Thraupidae",21.69117473
