"sp","longitude","latitude","country"
"Pharomachrus mocinno",-93.14429,17.171106,"MX"
"Pharomachrus mocinno",-93.094894,15.839162,"MX"
"Pharomachrus mocinno",-92.805695,15.657926,"MX"
"Pharomachrus mocinno",-92.80881,15.657228,"MX"
"Pharomachrus mocinno",-92.80898,15.657067,"MX"
"Pharomachrus mocinno",-92.81961,15.62181,"MX"
"Pharomachrus mocinno",-92.796196,15.681987,"MX"
"Pharomachrus mocinno",-92.8045,15.648517,"MX"
"Pharomachrus mocinno",-92.80679,15.658084,"MX"
"Pharomachrus mocinno",-92.8091,15.657625,"MX"
"Pharomachrus mocinno",-92.93921,15.720785,"MX"
"Pharomachrus mocinno",-92.807556,15.658507,"MX"
"Pharomachrus mocinno",-92.80888,15.645766,"MX"
"Pharomachrus mocinno",-92.81147,15.6245,"MX"
"Pharomachrus mocinno",-92.14461,15.14788,"MX"
"Pharomachrus mocinno",-92.35651,17.15225,"MX"
"Pharomachrus mocinno",-92.80882,15.645689,"MX"
"Pharomachrus mocinno",-92.166857,15.167581,"MX"
"Pharomachrus mocinno",-93.5905244,16.1082954,"MX"
"Pharomachrus mocinno",-93.5971908,16.1996799,"MX"
"Pharomachrus mocinno",-93.6166362,16.175792,"MX"
"Pharomachrus mocinno",-92.933333,15.733333,"MX"
"Pharomachrus mocinno",-92.638331,16.736667,"MX"
"Pharomachrus mocinno",-93.590556,16.1075,"MX"
"Pharomachrus mocinno",-92.958333,15.641667,"MX"
"Pharomachrus mocinno",-91.716389,16.110667,"MX"
"Pharomachrus mocinno",-92.110289,15.130583,"MX"
"Pharomachrus mocinno",-93.998889,16.615833,"MX"
"Pharomachrus mocinno",-92.823611,15.629444,"MX"
"Pharomachrus mocinno",-92.708333,15.725,"MX"
"Pharomachrus mocinno",-91.641111,17.006667,"MX"
"Pharomachrus mocinno",-92.808778,15.653861,"MX"
"Pharomachrus mocinno",-92.838167,15.672667,"MX"
"Pharomachrus mocinno",-92.810417,15.663306,"MX"
"Pharomachrus mocinno",-92.809444,15.646639,"MX"
"Pharomachrus mocinno",-92.808611,15.6545,"MX"
"Pharomachrus mocinno",-92.809833,15.652389,"MX"
"Pharomachrus mocinno",-92.808333,15.658333,"MX"
"Pharomachrus mocinno",-92.816222,15.658361,"MX"
"Pharomachrus mocinno",-92.809139,15.657222,"MX"
"Pharomachrus mocinno",-92.810444,15.663472,"MX"
"Pharomachrus mocinno",-92.820278,15.663639,"MX"
"Pharomachrus mocinno",-92.809639,15.650111,"MX"
"Pharomachrus mocinno",-93.470525,16.053137,"MX"
"Pharomachrus mocinno",-93.119383,17.184519,"MX"
"Pharomachrus mocinno",-93.119955,17.189743,"MX"
"Pharomachrus mocinno",-92.805067,15.662683,"MX"
"Pharomachrus mocinno",-92.805177,15.662522,"MX"
"Pharomachrus mocinno",-92.807106,15.657131,"MX"
"Pharomachrus mocinno",-93.126148,17.190082,"MX"
"Pharomachrus mocinno",-91.6532,16.114923,"MX"
"Pharomachrus mocinno",-92.72996,15.715704,"MX"
"Pharomachrus mocinno",-92.727104,15.715522,"MX"
"Pharomachrus mocinno",-92.73268,15.719702,"MX"
"Pharomachrus mocinno",-92.45282,15.501412,"MX"
"Pharomachrus mocinno",-92.80782,15.651883,"MX"
"Pharomachrus mocinno",-93.064354,15.799625,"MX"
"Pharomachrus mocinno",-93.70127,16.28472,"MX"
"Pharomachrus mocinno",-92.8022,15.681221,"MX"
"Pharomachrus mocinno",-91.581924,16.977844,"MX"
"Pharomachrus mocinno",-92.933464,15.720111,"MX"
"Pharomachrus mocinno",-92.80014,15.666676,"MX"
"Pharomachrus mocinno",-92.763062,15.641552,"MX"
"Pharomachrus mocinno",-92.782288,15.652131,"MX"
"Pharomachrus mocinno",-92.771301,15.65742,"MX"
"Pharomachrus mocinno",-92.130155,15.112728,"MX"
"Pharomachrus mocinno",-93.055573,15.776395,"MX"
"Pharomachrus mocinno",-92.701218,15.599428,"MX"
"Pharomachrus mocinno",-92.960815,15.736745,"MX"
"Pharomachrus mocinno",-92.800224,15.668439,"MX"
"Pharomachrus mocinno",-92.79819,15.666692,"MX"
"Pharomachrus mocinno",-93.084114,17.206722,"MX"
"Pharomachrus mocinno",-93.12021,17.188263,"MX"
"Pharomachrus mocinno",-93.20582,17.184116,"MX"
"Pharomachrus mocinno",-92.63995,15.650587,"MX"
"Pharomachrus mocinno",-92.942184,15.732061,"MX"
"Pharomachrus mocinno",-92.800376,15.666098,"MX"
"Pharomachrus mocinno",-92.80881,15.6572,"MX"
"Pharomachrus mocinno",-91.67146,16.097609,"MX"
"Pharomachrus mocinno",-92.687874,15.581372,"MX"
"Pharomachrus mocinno",-92.14833,15.157615,"MX"
"Pharomachrus mocinno",-92.15281,15.162657,"MX"
