"sp","migrant","area","HWI","family"
"Caryothraustes_poliogaster","Non-migrant",26.7458689293639,29.6902228990186,"Cardinalidae"
"Cassiculus_melanicterus","Non-migrant",20.0352271857193,38.6179436884425,"Icteridae"
"Catamenia_analis","Non-migrant",91.4641021425889,34.1862442594719,"Thraupidae"
"Catamenia_homochroa","Non-migrant",23.3353858956716,26.9092367002815,"Thraupidae"
"Catamenia_inornata","Non-migrant",68.7083582851528,31.6427038434711,"Thraupidae"
"Certhidea_fusca","Non-migrant",0.084454278276462,31.4636962653743,"Thraupidae"
"Certhidea_olivacea","Non-migrant",0.568541193871342,27.8161704077596,"Thraupidae"
"Chlorochrysa_calliparaea","Non-migrant",12.0435741625392,37.587102819661,"Thraupidae"
"Chlorochrysa_nitidissima","Non-migrant",1.41766767970012,34.7167373309106,"Thraupidae"
"Chlorospingus_canigularis","Non-migrant",13.5216299161761,31.3728878396398,"Passerellidae"
"Chlorospingus_flavopectus","Non-migrant",49.063749832918,28.2882715510343,"Passerellidae"
"Chlorospingus_pileatus","Non-migrant",0.324480911310352,37.1049613628401,"Passerellidae"
"Chlorospingus_semifuscus","Non-migrant",2.12791313267043,28.3413351006492,"Passerellidae"
"Chondestes_grammacus","Migrant",717.982520105788,43.7340243647258,"Passerellidae"
"Chrysomus_icterocephalus","Non-migrant",129.369004513392,26.9723614144389,"Icteridae"
"Chrysomus_ruficapillus","Non-migrant",506.244432784029,38.3257518665282,"Icteridae"
"Cnemathraupis_eximia","Non-migrant",4.89054297069051,28.4341038777525,"Thraupidae"
"Curaeus_curaeus","Migrant",119.18980496145,37.2575891340938,"Icteridae"
"Cyanicterus_cyanicterus","Non-migrant",34.4358247914359,39.4404071542475,"Thraupidae"
"Cyanocompsa_parellina","Non-migrant",49.5481414641435,35.2170274640554,"Cardinalidae"
"Cyanoloxia_brissonii","Non-migrant",508.749307429025,34.1707288028316,"Cardinalidae"
"Cyanoloxia_cyanoides","Non-migrant",72.9016978391084,34.3636956335339,"Cardinalidae"
"Cyanoloxia_rothschildii","Non-migrant",539.967543030708,28.5117655565356,"Cardinalidae"
"Dacnis_cayana","Non-migrant",999.356930276689,35.071912568306,"Thraupidae"
"Dacnis_flaviventer","Non-migrant",337.380673653119,32.6120960783768,"Thraupidae"
"Dacnis_lineata","Non-migrant",494.993700029783,37.3751847113544,"Thraupidae"
"Dacnis_venusta","Non-migrant",16.6262074843547,39.4269566326672,"Thraupidae"
"Diglossa_albilatera","Non-migrant",20.7834902700667,23.1658720149292,"Thraupidae"
"Diglossa_caerulescens","Non-migrant",23.0887783437459,29.0193899667584,"Thraupidae"
"Diglossa_carbonaria","Non-migrant",5.96422292445314,28.3188457669091,"Thraupidae"
"Diglossa_cyanea","Non-migrant",32.2080442324046,32.2846070656092,"Thraupidae"
"Diglossa_gloriosa","Non-migrant",0.938954136704126,29.6838882510524,"Thraupidae"
"Diglossa_humeralis","Non-migrant",12.6690187558135,33.103648039532,"Thraupidae"
"Diglossa_lafresnayii","Non-migrant",8.9397550669199,29.443534214298,"Thraupidae"
"Diglossa_plumbea","Non-migrant",0.735030358676236,29.0621531631521,"Thraupidae"
"Diglossa_sittoides","Non-migrant",49.4275203622972,37.2851388377704,"Thraupidae"
"Diuca_diuca","Migrant",256.496694920862,36.9024242467784,"Thraupidae"
"Dolichonyx_oryzivorus","Migrant",1203.60667214665,48.6096771510902,"Icteridae"
"Emberiza_cabanisi","Non-migrant",236.032384590589,33.2314518814519,"Emberizidae"
"Emberiza_cia","Migrant",603.222117775807,42.8121026095758,"Emberizidae"
"Emberiza_cioides","Migrant",1177.07258718551,40.9462734464565,"Emberizidae"
"Emberiza_cirlus","Migrant",239.617476558144,43.9503857209208,"Emberizidae"
